"","BORO","CSD","SCHOOL CODE","SCHOOL NAME","GRADE","PROGRAM TYPE","CORE SUBJECT (MS CORE and 9-12 ONLY)","CORE COURSE (MS CORE and 9-12 ONLY)","SERVICE CATEGORY(K-9* ONLY)","NUMBER OF CLASSES","TOTAL REGISTER","AVERAGE CLASS SIZE","SIZE OF SMALLEST CLASS","SIZE OF LARGEST CLASS","DATA SOURCE","SCHOOLWIDE PUPIL-TEACHER RATIO","district_75"
"1","X",7,"X043","P.S. 043 JONAS BRONCK","0K","GEN ED","-","-","-",3,58,19.3,18,20,"ATS",NA,1
"2","X",7,"X043","P.S. 043 JONAS BRONCK","01","GEN ED","-","-","-",4,69,17.3,16,19,"ATS",NA,1
"3","X",7,"X043","P.S. 043 JONAS BRONCK","01","CTT","-","-","-",1,23,23,23,23,"ATS",NA,1
"4","X",7,"X043","P.S. 043 JONAS BRONCK","02","GEN ED","-","-","-",3,54,18,17,19,"ATS",NA,1
"5","X",7,"X043","P.S. 043 JONAS BRONCK","02","CTT","-","-","-",1,21,21,21,21,"ATS",NA,1
"6","X",7,"X043","P.S. 043 JONAS BRONCK","03","GEN ED","-","-","-",3,59,19.7,19,21,"ATS",NA,1
"7","X",7,"X043","P.S. 043 JONAS BRONCK","04","GEN ED","-","-","-",3,53,17.7,16,19,"ATS",NA,1
"8","X",7,"X043","P.S. 043 JONAS BRONCK","05","GEN ED","-","-","-",2,54,27,27,27,"ATS",NA,1
"9","X",7,"X043","P.S. 043 JONAS BRONCK","0K-09","SPEC ED","-","-","12:1",1,11,11,11,11,"ATS",NA,1
"10","X",7,"X043","P.S. 043 JONAS BRONCK","0K-09","SPEC ED","-","-","12:1:1",1,8,8,8,8,"ATS",NA,1
"11","X",7,"X043","P.S. 043 JONAS BRONCK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,1
